Called number,type coverage,method name,coverage each time run,number of called Z3
1,BRANCH,binarySearch,100.0,2
2,BRANCH,binarySearch,100.0,2
3,BRANCH,binarySearch,100.0,3
4,BRANCH,binarySearch,100.0,2
5,BRANCH,binarySearch,100.0,3
6,BRANCH,binarySearch,100.0,3
7,BRANCH,binarySearch,100.0,3
8,BRANCH,binarySearch,100.0,3
9,BRANCH,binarySearch,100.0,3
10,BRANCH,binarySearch,100.0,2
11,BRANCH,binarySearch,100.0,3
12,BRANCH,binarySearch,100.0,2
13,BRANCH,binarySearch,100.0,3
14,BRANCH,binarySearch,100.0,3
15,BRANCH,binarySearch,100.0,3
16,BRANCH,binarySearch,100.0,3
17,BRANCH,binarySearch,100.0,2
18,BRANCH,binarySearch,100.0,2
19,BRANCH,binarySearch,100.0,2
20,BRANCH,binarySearch,100.0,3
1,BRANCH,computeUInt64SizeNoTag,100.0,5
2,BRANCH,computeUInt64SizeNoTag,100.0,5
3,BRANCH,computeUInt64SizeNoTag,100.0,5
4,BRANCH,computeUInt64SizeNoTag,100.0,5
5,BRANCH,computeUInt64SizeNoTag,100.0,5
6,BRANCH,computeUInt64SizeNoTag,100.0,5
7,BRANCH,computeUInt64SizeNoTag,100.0,5
8,BRANCH,computeUInt64SizeNoTag,100.0,5
9,BRANCH,computeUInt64SizeNoTag,100.0,5
10,BRANCH,computeUInt64SizeNoTag,100.0,5
1,BRANCH,countBits,100.0,29
2,BRANCH,countBits,100.0,29
3,BRANCH,countBits,100.0,29
4,BRANCH,countBits,100.0,29
5,BRANCH,countBits,100.0,29
6,BRANCH,countBits,100.0,29
7,BRANCH,countBits,100.0,29
8,BRANCH,countBits,100.0,29
9,BRANCH,countBits,100.0,29
10,BRANCH,countBits,100.0,29
1,BRANCH,divWord,66.66666666666667,3
2,BRANCH,divWord,66.66666666666667,3
3,BRANCH,divWord,66.66666666666667,3
4,BRANCH,divWord,66.66666666666667,3
5,BRANCH,divWord,66.66666666666667,3
6,BRANCH,divWord,66.66666666666667,3
7,BRANCH,divWord,66.66666666666667,3
8,BRANCH,divWord,66.66666666666667,3
9,BRANCH,divWord,66.66666666666667,3
10,BRANCH,divWord,66.66666666666667,3
1,BRANCH,divadd,100.0,1
2,BRANCH,divadd,100.0,1
3,BRANCH,divadd,100.0,1
4,BRANCH,divadd,100.0,1
5,BRANCH,divadd,100.0,1
6,BRANCH,divadd,100.0,1
7,BRANCH,divadd,100.0,1
8,BRANCH,divadd,100.0,1
9,BRANCH,divadd,100.0,1
10,BRANCH,divadd,100.0,1
1,BRANCH,encodeCopy,100.0,7
2,BRANCH,encodeCopy,100.0,7
3,BRANCH,encodeCopy,100.0,7
4,BRANCH,encodeCopy,100.0,7
5,BRANCH,encodeCopy,100.0,7
6,BRANCH,encodeCopy,100.0,7
7,BRANCH,encodeCopy,100.0,7
8,BRANCH,encodeCopy,100.0,7
9,BRANCH,encodeCopy,100.0,7
10,BRANCH,encodeCopy,100.0,7
1,BRANCH,expandedCapacity,100.0,5
2,BRANCH,expandedCapacity,100.0,5
3,BRANCH,expandedCapacity,100.0,5
4,BRANCH,expandedCapacity,100.0,5
