Called number,type coverage,method name,average variable each time run,average expression each time run
6,STATEMENT,saturatedMultiply,2,181.3333
7,STATEMENT,saturatedMultiply,2,181.3333
8,STATEMENT,saturatedMultiply,2,181.3333
9,STATEMENT,saturatedMultiply,2,181.3333
10,STATEMENT,saturatedMultiply,2,181.3333
1,STATEMENT,saturatedSubtract,2,12
2,STATEMENT,saturatedSubtract,2,12
3,STATEMENT,saturatedSubtract,2,12
4,STATEMENT,saturatedSubtract,2,12
5,STATEMENT,saturatedSubtract,2,12
6,STATEMENT,saturatedSubtract,2,12
7,STATEMENT,saturatedSubtract,2,12
8,STATEMENT,saturatedSubtract,2,12
9,STATEMENT,saturatedSubtract,2,12
10,STATEMENT,saturatedSubtract,2,12
1,STATEMENT,set32x64Bits,0,0
2,STATEMENT,set32x64Bits,0,0
3,STATEMENT,set32x64Bits,0,0
4,STATEMENT,set32x64Bits,0,0
5,STATEMENT,set32x64Bits,0,0
6,STATEMENT,set32x64Bits,0,0
7,STATEMENT,set32x64Bits,0,0
8,STATEMENT,set32x64Bits,0,0
9,STATEMENT,set32x64Bits,0,0
10,STATEMENT,set32x64Bits,0,0
1,STATEMENT,slide,0,0
2,STATEMENT,slide,0,0
3,STATEMENT,slide,0,0
4,STATEMENT,slide,0,0
5,STATEMENT,slide,0,0
6,STATEMENT,slide,0,0
7,STATEMENT,slide,0,0
8,STATEMENT,slide,0,0
9,STATEMENT,slide,0,0
10,STATEMENT,slide,0,0
1,STATEMENT,stickyRound,1,8
2,STATEMENT,stickyRound,1,8
3,STATEMENT,stickyRound,1,8
4,STATEMENT,stickyRound,1,8
5,STATEMENT,stickyRound,1,8
6,STATEMENT,stickyRound,1,8
7,STATEMENT,stickyRound,1,8
8,STATEMENT,stickyRound,1,8
9,STATEMENT,stickyRound,1,8
10,STATEMENT,stickyRound,1,8
1,STATEMENT,subtractWithOverflowDefault,2,10.5
2,STATEMENT,subtractWithOverflowDefault,2,10.5
3,STATEMENT,subtractWithOverflowDefault,2,10.5
4,STATEMENT,subtractWithOverflowDefault,2,10.5
5,STATEMENT,subtractWithOverflowDefault,2,10.5
6,STATEMENT,subtractWithOverflowDefault,2,10.5
7,STATEMENT,subtractWithOverflowDefault,2,10.5
8,STATEMENT,subtractWithOverflowDefault,2,10.5
1,STATEMENT,tableSize,2,11
2,STATEMENT,tableSize,2,11
3,STATEMENT,tableSize,2,11
4,STATEMENT,tableSize,2,11
5,STATEMENT,tableSize,2,11
6,STATEMENT,tableSize,2,11
7,STATEMENT,tableSize,2,11
8,STATEMENT,tableSize,2,11
9,STATEMENT,tableSize,2,11
10,STATEMENT,tableSize,2,11
1,STATEMENT,toCompactValue,4,24
2,STATEMENT,toCompactValue,4,24
3,STATEMENT,toCompactValue,4,21
4,STATEMENT,toCompactValue,4,24
5,STATEMENT,toCompactValue,4,21
6,STATEMENT,toCompactValue,4,21
7,STATEMENT,toCompactValue,4,24
8,STATEMENT,toCompactValue,4,24
9,STATEMENT,toCompactValue,4,24
10,STATEMENT,toCompactValue,4,24
1,BRANCH,addWithOverflowDefault,2,9.5
2,BRANCH,addWithOverflowDefault,2,9.5
3,BRANCH,addWithOverflowDefault,2,9.5
4,BRANCH,addWithOverflowDefault,2,9.5
5,BRANCH,addWithOverflowDefault,2,9.5
6,BRANCH,addWithOverflowDefault,2,9.5
7,BRANCH,addWithOverflowDefault,2,9.5
8,BRANCH,addWithOverflowDefault,2,9.5
9,BRANCH,addWithOverflowDefault,2,9.5
10,BRANCH,addWithOverflowDefault,2,9.5
1,BRANCH,binaryGcd,2.6667,12.3333
2,BRANCH,binaryGcd,2.6667,12.3333
3,BRANCH,binaryGcd,2.6667,12.3333
4,BRANCH,binaryGcd,2.6667,12.3333
5,BRANCH,binaryGcd,2.6667,12.3333
6,BRANCH,binaryGcd,2.6667,12.3333
7,BRANCH,binaryGcd,2.6667,12.3333
8,BRANCH,binaryGcd,2.6667,12.3333
9,BRANCH,binaryGcd,2.6667,12.3333
10,BRANCH,binaryGcd,2.6667,12.3333
1,BRANCH,binarySearch,4,23
2,BRANCH,binarySearch,4,23
3,BRANCH,binarySearch,4,22.6667
4,BRANCH,binarySearch,4,23
5,BRANCH,binarySearch,4,22.6667
6,BRANCH,binarySearch,4,22.6667
7,BRANCH,binarySearch,4,22.6667
8,BRANCH,binarySearch,4,22.6667
9,BRANCH,binarySearch,4,22.6667
10,BRANCH,binarySearch,4,23
11,BRANCH,binarySearch,4,22.6667
12,BRANCH,binarySearch,4,23
13,BRANCH,binarySearch,4,22.6667
14,BRANCH,binarySearch,4,22.6667
15,BRANCH,binarySearch,4,22.6667
16,BRANCH,binarySearch,4,22.6667
17,BRANCH,binarySearch,4,23
18,BRANCH,binarySearch,4,23
19,BRANCH,binarySearch,4,23
20,BRANCH,binarySearch,4,22.6667
1,BRANCH,computeUInt64SizeNoTag,1,21.2
2,BRANCH,computeUInt64SizeNoTag,1,21.2
3,BRANCH,computeUInt64SizeNoTag,1,21.2
4,BRANCH,computeUInt64SizeNoTag,1,21.2
5,BRANCH,computeUInt64SizeNoTag,1,21.2
6,BRANCH,computeUInt64SizeNoTag,1,21.2
7,BRANCH,computeUInt64SizeNoTag,1,21.2
8,BRANCH,computeUInt64SizeNoTag,1,21.2
9,BRANCH,computeUInt64SizeNoTag,1,21.2
10,BRANCH,computeUInt64SizeNoTag,1,21.2
1,BRANCH,countBits,1,35.6552
2,BRANCH,countBits,1,35.6552
3,BRANCH,countBits,1,35.6552
4,BRANCH,countBits,1,35.6552
5,BRANCH,countBits,1,35.6552
6,BRANCH,countBits,1,35.6552
7,BRANCH,countBits,1,35.6552
8,BRANCH,countBits,1,35.6552
9,BRANCH,countBits,1,35.6552
10,BRANCH,countBits,1,35.6552
1,BRANCH,divWord,1.6667,20
2,BRANCH,divWord,1.6667,20
3,BRANCH,divWord,1.6667,20
4,BRANCH,divWord,1.6667,20
5,BRANCH,divWord,1.6667,20
6,BRANCH,divWord,1.6667,20
7,BRANCH,divWord,1.6667,20
8,BRANCH,divWord,1.6667,20
9,BRANCH,divWord,1.6667,20
10,BRANCH,divWord,1.6667,20
1,BRANCH,divadd,2,12
2,BRANCH,divadd,2,12
3,BRANCH,divadd,2,12
4,BRANCH,divadd,2,12
5,BRANCH,divadd,2,12
6,BRANCH,divadd,2,12
7,BRANCH,divadd,2,12
8,BRANCH,divadd,2,12
9,BRANCH,divadd,2,12
10,BRANCH,divadd,2,12
1,BRANCH,encodeCopy,2,54.7143
2,BRANCH,encodeCopy,2,54.7143
3,BRANCH,encodeCopy,2,54.7143
4,BRANCH,encodeCopy,2,54.7143
5,BRANCH,encodeCopy,2,54.7143
6,BRANCH,encodeCopy,2,54.7143
7,BRANCH,encodeCopy,2,54.7143
8,BRANCH,encodeCopy,2,54.7143
9,BRANCH,encodeCopy,2,54.7143
10,BRANCH,encodeCopy,2,54.7143
1,BRANCH,expandedCapacity,1.8,22.6
2,BRANCH,expandedCapacity,1.8,22.6
3,BRANCH,expandedCapacity,1.8,22.6
4,BRANCH,expandedCapacity,1.8,22.6
5,BRANCH,expandedCapacity,1.8,22.6
